C:\Users\scoti\PycharmProjects\ML_RAG\.venv\Scripts\python.exe C:\Users\scoti\PycharmProjects\ML_RAG\scripts\download_models.py
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0020 words=393 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0020
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0021 words=56 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0021
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0022 words=204 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0022
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0023 words=157 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0023
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0024 words=96 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0024
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0025 words=307 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0025
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0026 words=265 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0026
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0027 words=353 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0027
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0028 words=115 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0028
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0029 words=374 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0029
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0030 words=411 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0030
